Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
9.51,113.19,149.9989,9.4066,149.9989,0.00,100.00,45.40,-2.97,41.28,11.45,343.52,151.2524,12.1715,150.1188,151.0120,12.2717,150.4092,344.38,12.61,45.40,151.6463,12.0090,149.6821,344.38,12.61,45.40,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
10.05,113.19,149.9988,9.4045,149.9987,0.00,100.00,46.17,-3.17,41.28,11.45,343.52,151.2523,12.1694,150.1186,151.0156,12.2685,150.4125,344.55,12.82,46.17,151.6405,12.0088,149.6762,344.55,12.82,46.17,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
10.59,113.19,149.9980,9.4026,149.9979,0.00,100.00,46.17,-3.17,41.28,11.45,343.52,151.2515,12.1675,150.1178,151.0148,12.2666,150.4117,344.55,12.82,46.17,151.6396,12.0068,149.6755,344.55,12.82,46.17,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
11.14,113.19,149.9979,9.4346,149.9977,0.06,100.00,45.32,-2.95,41.28,11.45,343.52,151.2514,12.1995,150.1177,151.0105,12.2999,150.4077,344.36,12.59,45.32,151.6459,12.0368,149.6817,344.36,12.59,45.32,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
11.68,113.19,149.9979,9.4304,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1953,150.1177,151.0101,12.2959,150.4073,344.34,12.56,45.23,151.6465,12.0324,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
12.22,113.19,149.9979,9.4253,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1901,150.1177,151.0101,12.2907,150.4073,344.34,12.56,45.23,151.6465,12.0273,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
12.77,113.19,149.9979,9.4058,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1707,150.1177,151.0101,12.2712,150.4073,344.34,12.56,45.23,151.6465,12.0078,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
13.31,113.19,149.9979,9.4174,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1823,150.1177,151.0101,12.2829,150.4073,344.34,12.56,45.23,151.6465,12.0195,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
13.82,113.19,149.9979,9.4258,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1907,150.1177,151.0101,12.2913,150.4073,344.34,12.56,45.23,151.6465,12.0278,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
14.36,113.19,149.9979,9.4292,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1941,150.1177,151.0101,12.2947,150.4073,344.34,12.56,45.23,151.6465,12.0313,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
14.92,113.19,149.9979,9.4279,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1928,150.1177,151.0101,12.2933,150.4073,344.34,12.56,45.23,151.6465,12.0299,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
15.43,113.19,149.9979,9.4086,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1735,150.1177,151.0101,12.2740,150.4073,344.34,12.56,45.23,151.6465,12.0106,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
15.97,113.19,149.9979,9.4141,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1790,150.1177,151.0101,12.2796,150.4073,344.34,12.56,45.23,151.6465,12.0162,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
16.55,113.19,149.9979,9.4033,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1682,150.1177,151.0101,12.2687,150.4073,344.34,12.56,45.23,151.6465,12.0053,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
17.11,113.19,149.9979,9.4032,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1681,150.1177,151.0101,12.2686,150.4073,344.34,12.56,45.23,151.6465,12.0052,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
17.64,113.19,149.9979,9.4254,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1902,150.1177,151.0101,12.2908,150.4073,344.34,12.56,45.23,151.6465,12.0274,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
18.16,113.19,149.9979,9.4015,149.9977,0.05,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1664,150.1177,151.0101,12.2670,150.4073,344.34,12.56,45.23,151.6465,12.0036,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
18.70,113.19,149.9979,9.4264,149.9977,0.05,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1913,150.1177,151.0101,12.2919,150.4073,344.34,12.56,45.23,151.6465,12.0285,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
19.22,113.19,149.9979,9.4210,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1858,150.1177,151.0101,12.2864,150.4073,344.34,12.56,45.23,151.6465,12.0230,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
19.74,113.19,149.9979,9.4319,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1968,150.1177,151.0101,12.2973,150.4073,344.34,12.56,45.23,151.6465,12.0339,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
20.29,113.19,149.9979,9.4093,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1742,150.1177,151.0101,12.2748,150.4073,344.34,12.56,45.23,151.6465,12.0114,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
20.83,113.19,149.9979,9.4131,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1780,150.1177,151.0101,12.2786,150.4073,344.34,12.56,45.23,151.6465,12.0152,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
21.36,113.19,149.9979,9.4254,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2513,12.1902,150.1177,151.0100,12.2908,150.4073,344.34,12.56,45.23,151.6465,12.0274,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
21.91,113.19,149.9979,9.4097,149.9977,0.03,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1746,150.1177,151.0101,12.2751,150.4073,344.34,12.56,45.23,151.6465,12.0117,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
22.45,113.19,149.9979,9.4151,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1800,150.1177,151.0101,12.2805,150.4073,344.34,12.56,45.23,151.6465,12.0171,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
22.97,113.19,149.9979,9.4164,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1813,150.1177,151.0101,12.2818,150.4073,344.34,12.56,45.23,151.6465,12.0184,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
23.52,113.19,149.9979,9.4280,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1929,150.1177,151.0101,12.2935,150.4073,344.34,12.56,45.23,151.6465,12.0300,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
