Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
1848.10,113.33,149.9969,9.4492,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3083,150.1076,150.6089,12.4302,150.1143,341.81,359.00,359.82,151.5589,12.1181,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1848.63,113.33,149.9969,9.4327,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2918,150.1076,150.6089,12.4137,150.1143,341.81,359.00,359.82,151.5589,12.1016,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1849.16,113.33,149.9969,9.4527,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3118,150.1076,150.6089,12.4337,150.1143,341.81,359.00,359.82,151.5589,12.1216,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1849.71,113.33,149.9969,9.4307,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2898,150.1076,150.6089,12.4117,150.1143,341.81,359.00,359.82,151.5589,12.0996,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1850.23,113.33,149.9969,9.4213,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2804,150.1076,150.6089,12.4023,150.1143,341.81,359.00,359.82,151.5589,12.0902,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1850.76,113.33,149.9969,9.4459,149.8073,0.05,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3050,150.1076,150.6089,12.4269,150.1143,341.81,359.00,359.82,151.5589,12.1147,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1851.31,113.33,149.9969,9.4218,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2809,150.1076,150.6089,12.4028,150.1143,341.81,359.00,359.82,151.5589,12.0907,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1851.84,113.33,149.9969,9.4480,149.8073,0.05,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3071,150.1076,150.6089,12.4290,150.1143,341.81,359.00,359.82,151.5589,12.1169,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1852.37,113.33,149.9969,9.4330,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2921,150.1076,150.6089,12.4140,150.1143,341.81,359.00,359.82,151.5589,12.1019,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1852.92,113.33,149.9969,9.4388,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2979,150.1076,150.6089,12.4198,150.1143,341.81,359.00,359.82,151.5589,12.1077,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1853.48,113.33,149.9969,9.4418,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3009,150.1076,150.6089,12.4228,150.1143,341.81,359.00,359.82,151.5589,12.1106,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1854.00,113.33,149.9969,9.4424,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3015,150.1076,150.6089,12.4234,150.1143,341.81,359.00,359.82,151.5589,12.1113,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1854.53,113.33,149.9969,9.4342,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2933,150.1076,150.6089,12.4152,150.1143,341.81,359.00,359.82,151.5589,12.1031,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1855.09,113.33,149.9969,9.4219,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2810,150.1076,150.6089,12.4029,150.1143,341.81,359.00,359.82,151.5589,12.0908,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1855.63,113.33,149.9969,9.4315,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2906,150.1076,150.6089,12.4125,150.1143,341.81,359.00,359.82,151.5589,12.1004,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1856.17,113.33,149.9969,9.4313,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2905,150.1076,150.6089,12.4124,150.1143,341.81,359.00,359.82,151.5589,12.1002,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1856.73,113.33,149.9969,9.4254,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2846,150.1076,150.6089,12.4065,150.1143,341.81,359.00,359.82,151.5589,12.0943,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1857.32,113.33,149.9969,9.4517,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3108,150.1076,150.6089,12.4327,150.1143,341.81,359.00,359.82,151.5589,12.1206,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1857.90,113.33,149.9969,9.4540,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3131,150.1076,150.6089,12.4350,150.1143,341.81,359.00,359.82,151.5589,12.1229,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1858.43,113.33,149.9969,9.4302,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2893,150.1076,150.6089,12.4112,150.1143,341.81,359.00,359.82,151.5589,12.0990,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1858.98,113.33,149.9969,9.4396,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2987,150.1076,150.6089,12.4206,150.1143,341.81,359.00,359.82,151.5589,12.1085,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1859.49,113.33,149.9969,9.4217,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2808,150.1076,150.6089,12.4027,150.1143,341.81,359.00,359.82,151.5589,12.0906,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1860.02,113.33,149.9969,9.4441,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3032,150.1076,150.6089,12.4251,150.1143,341.81,359.00,359.82,151.5589,12.1130,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1860.57,113.33,149.9969,9.4375,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2967,150.1076,150.6089,12.4186,150.1143,341.81,359.00,359.82,151.5589,12.1064,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1861.13,113.33,149.9969,9.4218,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2809,150.1076,150.6089,12.4028,150.1143,341.81,359.00,359.82,151.5589,12.0907,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1861.70,113.33,149.9969,9.4462,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3053,150.1076,150.6089,12.4272,150.1143,341.81,359.00,359.82,151.5589,12.1151,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1862.23,113.33,149.9969,9.4352,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2943,150.1076,150.6089,12.4162,150.1143,341.81,359.00,359.82,151.5589,12.1041,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1862.78,113.33,149.9969,9.4198,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2789,150.1076,150.6089,12.4008,150.1143,341.81,359.00,359.82,151.5589,12.0886,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1863.29,113.33,149.9969,9.4317,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2908,150.1076,150.6089,12.4127,150.1143,341.81,359.00,359.82,151.5589,12.1006,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1863.82,113.33,149.9969,9.4519,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3110,150.1076,150.6089,12.4329,150.1143,341.81,359.00,359.82,151.5589,12.1208,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1864.35,113.33,149.9969,9.4211,149.8073,0.06,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2802,150.1076,150.6089,12.4021,150.1143,341.81,359.00,359.82,151.5589,12.0900,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1864.92,113.33,149.9969,9.4197,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2788,150.1076,150.6089,12.4008,150.1143,341.81,359.00,359.82,151.5589,12.0886,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1865.44,113.33,149.9969,9.4401,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2992,150.1076,150.6089,12.4211,150.1143,341.81,359.00,359.82,151.5589,12.1090,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1865.98,113.33,149.9969,9.4543,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3134,150.1076,150.6089,12.4353,150.1143,341.81,359.00,359.82,151.5589,12.1232,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1866.49,113.33,149.9969,9.4254,149.8073,0.06,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2846,150.1076,150.6089,12.4065,150.1143,341.81,359.00,359.82,151.5589,12.0943,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1867.01,113.33,149.9969,9.4220,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2811,150.1076,150.6089,12.4030,150.1143,341.81,359.00,359.82,151.5589,12.0909,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1867.55,113.33,149.9969,9.4246,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2837,150.1076,150.6089,12.4056,150.1143,341.81,359.00,359.82,151.5589,12.0935,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1868.12,113.33,149.9969,9.4463,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3054,150.1076,150.6089,12.4273,150.1143,341.81,359.00,359.82,151.5589,12.1152,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1868.64,113.33,149.9969,9.4397,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2988,150.1076,150.6089,12.4207,150.1143,341.81,359.00,359.82,151.5589,12.1086,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1869.16,113.33,149.9969,9.4459,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3050,150.1076,150.6089,12.4269,150.1143,341.81,359.00,359.82,151.5589,12.1148,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1869.73,113.33,149.9969,9.4350,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2941,150.1076,150.6089,12.4160,150.1143,341.81,359.00,359.82,151.5589,12.1039,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1870.29,113.33,149.9969,9.4369,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2960,150.1076,150.6089,12.4179,150.1143,341.81,359.00,359.82,151.5589,12.1058,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1870.79,113.33,149.9969,9.4344,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2935,150.1076,150.6089,12.4154,150.1143,341.81,359.00,359.82,151.5589,12.1033,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1871.31,113.33,149.9969,9.4350,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2941,150.1076,150.6089,12.4160,150.1143,341.81,359.00,359.82,151.5589,12.1038,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1871.84,113.33,149.9969,9.4526,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3117,150.1076,150.6089,12.4336,150.1143,341.81,359.00,359.82,151.5589,12.1215,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1872.34,113.33,149.9969,9.4438,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3029,150.1076,150.6089,12.4248,150.1143,341.81,359.00,359.82,151.5589,12.1127,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1872.92,113.33,149.9969,9.4469,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3060,150.1076,150.6089,12.4279,150.1143,341.81,359.00,359.82,151.5589,12.1158,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1873.49,113.33,149.9969,9.4356,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2947,150.1076,150.6089,12.4166,150.1143,341.81,359.00,359.82,151.5589,12.1045,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1874.01,113.33,149.9969,9.4209,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2800,150.1076,150.6089,12.4019,150.1143,341.81,359.00,359.82,151.5589,12.0898,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1874.56,113.33,149.9969,9.4469,149.8073,0.05,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3060,150.1076,150.6089,12.4279,150.1143,341.81,359.00,359.82,151.5589,12.1158,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1875.08,113.33,149.9969,9.4432,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3023,150.1076,150.6089,12.4242,150.1143,341.81,359.00,359.82,151.5589,12.1121,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1875.61,113.33,149.9969,9.4272,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2863,150.1076,150.6089,12.4082,150.1143,341.81,359.00,359.82,151.5589,12.0961,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1876.12,113.33,149.9969,9.4515,149.8073,0.05,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3106,150.1076,150.6089,12.4325,150.1143,341.81,359.00,359.82,151.5589,12.1204,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1876.64,113.33,149.9969,9.4437,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3028,150.1076,150.6089,12.4247,150.1143,341.81,359.00,359.82,151.5589,12.1126,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1877.18,113.33,149.9969,9.4393,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2984,150.1076,150.6089,12.4203,150.1143,341.81,359.00,359.82,151.5589,12.1082,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1877.70,113.33,149.9969,9.4465,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3056,150.1076,150.6089,12.4275,150.1143,341.81,359.00,359.82,151.5589,12.1154,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1878.22,113.33,149.9969,9.4421,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3012,150.1076,150.6089,12.4231,150.1143,341.81,359.00,359.82,151.5589,12.1109,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1878.76,113.33,149.9969,9.4526,149.8072,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3117,150.1076,150.6089,12.4336,150.1143,341.81,359.00,359.82,151.5589,12.1215,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1879.31,113.33,149.9969,9.4307,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2898,150.1076,150.6089,12.4117,150.1143,341.81,359.00,359.82,151.5589,12.0996,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1879.83,113.33,149.9969,9.4240,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2831,150.1076,150.6089,12.4050,150.1143,341.81,359.00,359.82,151.5589,12.0929,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1880.37,113.33,149.9969,9.4305,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2896,150.1076,150.6089,12.4115,150.1143,341.81,359.00,359.82,151.5589,12.0993,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1880.90,113.33,149.9969,9.4386,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2978,150.1076,150.6089,12.4197,150.1143,341.81,359.00,359.82,151.5589,12.1075,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1881.44,113.33,149.9969,9.4508,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3099,150.1076,150.6089,12.4318,150.1143,341.81,359.00,359.82,151.5589,12.1197,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1881.97,113.33,149.9969,9.4243,149.8073,0.05,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2834,150.1076,150.6089,12.4053,150.1143,341.81,359.00,359.82,151.5589,12.0932,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1882.48,113.33,149.9969,9.4456,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3047,150.1076,150.6089,12.4266,150.1143,341.81,359.00,359.82,151.5589,12.1145,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1883.01,113.33,149.9969,9.4346,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2937,150.1076,150.6089,12.4156,150.1143,341.81,359.00,359.82,151.5589,12.1035,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1883.55,113.33,149.9969,9.4275,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2866,150.1076,150.6089,12.4085,150.1143,341.81,359.00,359.82,151.5589,12.0964,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1884.11,113.33,149.9969,9.4206,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2797,150.1076,150.6089,12.4016,150.1143,341.81,359.00,359.82,151.5589,12.0895,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1884.69,113.33,149.9969,9.4199,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2790,150.1076,150.6089,12.4009,150.1143,341.81,359.00,359.82,151.5589,12.0888,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1885.22,113.33,149.9969,9.4518,149.8073,0.06,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3109,150.1076,150.6089,12.4328,150.1143,341.81,359.00,359.82,151.5589,12.1206,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1885.75,113.33,149.9969,9.4348,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2939,150.1076,150.6089,12.4158,150.1143,341.81,359.00,359.82,151.5589,12.1036,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1886.30,113.33,149.9969,9.4465,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3056,150.1076,150.6089,12.4275,150.1143,341.81,359.00,359.82,151.5589,12.1153,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1886.83,113.33,149.9969,9.4334,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2925,150.1076,150.6089,12.4144,150.1143,341.81,359.00,359.82,151.5589,12.1023,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1887.36,113.33,149.9969,9.4518,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3109,150.1076,150.6089,12.4328,150.1143,341.81,359.00,359.82,151.5589,12.1207,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1887.91,113.33,149.9969,9.4270,149.8073,0.04,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2861,150.1076,150.6089,12.4080,150.1143,341.81,359.00,359.82,151.5589,12.0959,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1888.43,113.33,149.9969,9.4223,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2814,150.1076,150.6089,12.4033,150.1143,341.81,359.00,359.82,151.5589,12.0912,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1888.96,113.33,149.9969,9.4406,149.8073,0.03,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2997,150.1076,150.6089,12.4216,150.1143,341.81,359.00,359.82,151.5589,12.1095,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1889.52,113.33,149.9969,9.4471,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3062,150.1076,150.6089,12.4281,150.1143,341.81,359.00,359.82,151.5589,12.1160,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1890.04,113.33,149.9969,9.4434,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.3025,150.1076,150.6089,12.4244,150.1143,341.81,359.00,359.82,151.5589,12.1123,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1890.57,113.33,149.9969,9.4317,149.8073,0.02,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2908,150.1076,150.6089,12.4127,150.1143,341.81,359.00,359.82,151.5589,12.1006,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1891.12,113.33,149.9969,9.4395,149.8073,0.01,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2986,150.1076,150.6089,12.4205,150.1143,341.81,359.00,359.82,151.5589,12.1084,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
1891.68,113.33,149.9969,9.4399,149.8073,0.00,100.00,359.82,10.20,5.53,0.88,341.80,150.9794,12.2990,150.1076,150.6089,12.4209,150.1143,341.81,359.00,359.82,151.5589,12.1088,150.1227,341.81,359.00,359.82,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
