timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,target_angle_rate_deg_s,yaw_closing_rate_deg_s,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,predicted_turret_yaw_rate,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,pitch_signed_effort,predicted_pitch_rate,move_ad_command,move_ad_weight,aim_aligned,predictive_aim_aligned,fire_alignment_ready,predictive_fire_lookahead_seconds,predicted_turret_error_at_fire,predicted_pitch_error_at_fire,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T16:09:26.353,moving_enemy,EnemyTank,0,120.0,,120.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,14.52,0.0,12.1,0.0,13.9194,2.0982,1.06,16.8382,0.0,0.0,10.0,10.0,0.2368,R,0.28,-0.0,0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,9.77,False,False,False
2026-06-24T16:09:26.932,moving_enemy,EnemyTank,0,120.0,,120.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,13.86,0.0,11.55,0.0,13.9194,2.0979,1.06,16.1779,0.0,0.68,9.94,9.26,0.2366,R,0.28,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,9.03,False,False,False
2026-06-24T16:09:27.493,moving_enemy,EnemyTank,0,120.0,,120.0,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,13.08,0.0,10.9,0.0,13.9194,2.0973,1.06,15.3973,0.0,1.43,9.86,8.44,0.2364,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,8.209,True,False,False
2026-06-24T16:09:28.064,moving_enemy,EnemyTank,0,120.0,,120.0,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,12.3,0.0,10.25,0.0,13.9194,2.0968,1.06,14.6168,0.0,2.17,9.78,7.62,0.2361,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,7.385,True,False,False
2026-06-24T16:09:28.660,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,11.52,0.0,9.6,0.0,13.9194,2.0965,1.06,13.8365,0.0,2.91,9.73,6.81,0.236,R,0.28,0.0,-0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,6.583,True,False,False
2026-06-24T16:09:29.207,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,10.74,0.0,8.95,0.0,13.9194,2.0958,1.06,13.0558,0.0,3.66,9.61,5.96,0.2356,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,5.728,True,False,False
2026-06-24T16:09:29.790,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,9.96,0.0,8.3,0.0,13.9194,2.0953,1.06,12.2753,0.0,4.4,9.54,5.14,0.2354,R,0.28,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,4.909,True,False,False
2026-06-24T16:09:30.352,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,9.18,0.0,7.65,0.0,13.9194,2.0948,1.06,11.4948,0.0,5.14,9.45,4.31,0.2352,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,4.078,True,False,False
2026-06-24T16:09:30.923,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,8.4,0.0,7.0,0.0,13.9194,2.0944,1.06,10.7144,0.0,5.89,9.39,3.5,0.235,R,0.245,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.2452,1.119,STOP,0.0,False,False,False,0.18,-0.0,3.302,True,False,False
2026-06-24T16:09:31.494,moving_enemy,EnemyTank,0,120.00041200577974,,120.0,True,9,0.0,0.0014,0.0,0.0014,0.0019,0.0001,0.0019,iterative_p_vt_half_at2,7.44,0.0036,6.2,0.0007,14.1618,2.0942,1.06,9.7542,0.1042,6.6,9.35,2.75,0.2349,R,0.194,0.05,0.089,0.0004,0.0004,0.019,0.0,STOP,0.0,0.05,0.0,0.0,False,0.194,0.885,STOP,0.0,False,False,False,0.18,0.047,2.591,True,False,False
