shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,observed_enemy_x_fire,observed_enemy_y_fire,observed_enemy_z_fire,enemy_velocity_x_fire,enemy_velocity_z_fire,enemy_speed_fire,enemy_accel_x_fire,enemy_accel_z_fire,enemy_accel_fire,intercept_solver_fire,reversal_hold_remaining_fire,predicted_control_time_fire,predicted_yaw_control_time_fire,predicted_pitch_control_time_fire,target_angle_rate_deg_s_fire,yaw_closing_rate_deg_s_fire,predicted_flight_time_fire,flight_time_correction_factor_fire,predicted_total_intercept_time_fire,lead_distance_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,predictive_aim_aligned_fire,fire_alignment_ready_fire,predictive_fire_lookahead_seconds_fire,predicted_turret_yaw_rate_fire,predicted_turret_error_at_fire,predicted_pitch_rate_fire,predicted_pitch_error_at_fire,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-24T16:09:34.371,2026-06-24T16:09:36.427,2.0564,enemy,148.9586,8.009355,268.4009,150.00001525878906,7.997014999389648,149.99913024902344,146.91734320915631,8.59998893737793,267.9660977395021,100.0,moving_enemy,EnemyTank,0,119.37119932506218,,149.0651397705078,8.59998893737793,269.3666687011719,-0.3818,-0.2525,0.4577,-0.3302,-0.2126,0.3927,iterative_p_vt_half_at2,0.0,0.36,0.052,0.3,-0.1887,19.9608,2.0514,1.06,2.6314,2.5641,118.01,-1.5,0.0,359.5,8.87,-1.5,-1.0,9.14,0.28,0.233,True,True,0.18,-0.213,-0.961,0.251,0.232,118.0072,0.603,13135358.5818,low_angle_solution,9.143,9.143,0.0,61.73,2.1690160764461908,-0.39911132387052817,-0.43480226049786097,0.38133066691968376,2.051918422931589,-0.5906339373779304,118.0072,118.4063,-0.3991,9.143,737.6426,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.005,R,0.055
3,2026-06-24T16:09:45.164,2026-06-24T16:09:47.273,2.1093,enemy,129.3442,8.814437,268.6255,150.00009155273438,7.999501705169678,149.99728393554688,132.03489084238834,8.599126815795898,268.5867626686024,60.0,moving_enemy,EnemyTank,0,120.18816946678497,,129.7037353515625,8.599126815795898,268.4593200683594,-1.182,0.0141,1.1821,1.8044,0.0328,1.8047,iterative_p_vt_half_at2,0.0,0.0779,0.0649,0.0,-0.5573,20.0943,2.0929,1.06,2.3908,2.3346,119.94,-8.61,353.71,350.08,9.51,-2.32,1.3,9.34,-0.17,0.2348,True,True,0.18,0.568,1.202,0.0,-0.173,119.9425,0.5996,12935023.049,low_angle_solution,9.3373,9.3373,0.0,61.563,2.6995696445134105,-0.4705801380455199,-0.038737331397612706,0.44131665853453783,-2.654535250671229,0.21531018420410142,119.9425,120.4131,-0.4706,9.3373,731.9957,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.013,STOP,0.0
,,2026-06-24T16:09:47.274,,enemy,129.3442,8.814437,268.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-24T16:09:47.276,,enemy,129.3442,8.814437,268.6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-06-24T16:10:11.969,2026-06-24T16:10:14.071,2.1028,enemy,168.3177,8.707423,267.94,150.00001525878906,7.985930919647217,149.9925079345703,168.91314536728044,8.600061416625977,268.486852530747,45.0,moving_enemy,EnemyTank,0,120.19375705991233,,170.08941650390625,8.600061416625977,268.4954833984375,0.7303,0.0012,0.7303,-1.06,-0.0042,1.06,iterative_p_vt_half_at2,0.0,0.0162,0.0135,0.0,0.3443,16.9692,2.094,1.06,2.3303,1.1763,119.99,9.07,4.02,8.84,9.36,5.05,0.23,9.35,-0.01,0.2349,True,True,0.18,-0.082,0.244,0.0,-0.006,119.9942,0.6141,12928594.2558,low_angle_solution,9.3497,9.3497,0.0,61.5585,0.8155546489259378,0.6328145200700135,0.5468525307470031,-0.633869356834086,-0.5018092409141889,0.1073615833740238,119.9942,119.3614,0.6328,9.3497,731.7816,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
,,2026-06-24T16:10:14.073,,enemy,168.3177,8.707423,267.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-24T16:10:14.074,,enemy,168.3177,8.707423,267.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-06-24T16:10:28.498,2026-06-24T16:10:30.615,2.1168,enemy,130.1037,9.046083,267.6259,149.99989318847656,7.970788955688477,149.98757934570312,132.3884358001879,8.599991798400879,268.48883889071635,30.0,moving_enemy,EnemyTank,0,120.45614873241377,,127.88996887207031,8.599991798400879,268.3971862792969,-1.2087,0.0098,1.2088,2.6223,0.0244,2.6224,iterative_p_vt_half_at2,0.0,0.0596,0.0497,0.0,-0.5711,23.8004,2.0901,1.06,2.3697,4.4994,119.8,-8.45,353.35,350.36,9.51,-1.81,1.18,9.34,-0.17,0.2347,True,True,0.18,0.474,1.097,0.0,-0.175,119.8028,0.6292,12947287.3943,low_angle_solution,9.3376,9.3376,0.0,61.575,2.482675686817572,0.4938232343759381,0.8629388907163502,-0.5176992189449809,-2.386769516412239,0.4460912015991205,119.8028,119.309,0.4938,9.3376,732.2785,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.011,STOP,0.0
9,2026-06-24T16:10:56.573,2026-06-24T16:10:58.676,2.1031,enemy,169.2391,8.712302,267.7825,150.00027465820312,7.9788007736206055,149.98336791992188,170.13285274178315,8.599956512451172,268.58023666755037,20.0,moving_enemy,EnemyTank,0,120.35091554846785,,170.89410400390625,8.599956512451172,268.5067443847656,0.8347,0.0163,0.8349,-0.9869,0.0128,0.987,iterative_p_vt_half_at2,0.0,0.029,0.0242,0.0,0.3907,16.0118,2.0994,1.06,2.3485,0.7648,120.29,9.63,4.45,9.25,9.36,5.18,0.39,9.38,0.01,0.235,True,True,0.18,-0.117,0.408,0.0,0.013,120.2935,0.6212,12920686.9044,low_angle_solution,9.3759,9.3759,0.0,61.558,1.2032453044877403,0.9337237919728381,0.797736667550339,-0.9360653042080856,-0.7476359411217702,0.11234548754882745,120.2935,119.3598,0.9337,9.3759,731.5428,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
,,2026-06-24T16:10:58.677,,enemy,169.2391,8.712302,267.7825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-24T16:10:58.678,,enemy,169.2391,8.712302,267.7825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-06-24T16:11:13.676,2026-06-24T16:11:15.788,2.1126,enemy,129.6182,8.521064,268.7079,150.0004119873047,7.978115081787109,149.9811248779297,131.13462469128078,8.599990844726562,268.5565512023278,5.0,moving_enemy,EnemyTank,0,120.60937929577676,,127.59223175048828,8.599990844726562,268.4906005859375,-1.4615,0.0155,1.4616,2.5083,0.0105,2.5083,iterative_p_vt_half_at2,0.0,0.0461,0.0384,0.0,-0.6876,22.9769,2.0954,1.06,2.3615,3.543,120.07,-9.04,353.41,350.08,9.36,-2.45,0.88,9.36,-0.0,0.2349,True,True,0.18,0.426,0.806,0.0,-0.004,120.0669,0.6219,12925877.1155,low_angle_solution,9.3591,9.3591,0.0,61.558,1.5260012286041276,-0.39675655012244704,-0.151348797672199,0.38774059587069776,-1.4738071560406576,-0.07892684472656164,120.0669,120.4636,-0.3968,9.3591,731.6884,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.01,STOP,0.0
,,2026-06-24T16:11:15.790,,enemy,129.6182,8.521064,268.7079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-24T16:11:15.791,,enemy,129.6182,8.521064,268.7079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
