shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,observed_enemy_x_fire,observed_enemy_y_fire,observed_enemy_z_fire,enemy_velocity_x_fire,enemy_velocity_z_fire,enemy_speed_fire,predicted_flight_time_fire,lead_distance_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T17:17:54.800,2026-06-23T17:17:56.759,1.9587,terrain,142.7354,7.771934,263.9124,149.99998474121094,8.000783920288086,149.9980926513672,140.79061422585627,8.58875846862793,258.84104535218086,100.0,moving_enemy,EnemyTank,0,110.12089020221123,,141.5798797607422,8.58875846862793,259.7966003417969,-0.4229,-0.512,0.664,1.7665,1.2394,109.23,-4.84,0.0,356.36,8.34,-4.84,-1.19,8.28,-0.06,0.2253,109.2319,0.588,14053085.4412,low_angle_solution,8.2787,8.2787,0.0,62.4873,5.492543298310705,-4.913844774620287,-5.071354647819135,4.88933288386364,2.3654288452706016,-0.8168244686279298,109.2319,114.1457,-4.9138,8.2787,763.0427,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.008,STOP,0.0
2,2026-06-23T17:18:01.484,2026-06-23T17:18:03.295,1.8116,enemy,137.2885,8.582966,253.5324,150.00010681152344,7.9925689697265625,149.99722290039062,135.86972671665407,8.599989891052246,252.87754500094354,100.0,moving_enemy,EnemyTank,0,104.15000305394845,,136.15606689453125,8.599989891052246,253.2230224609375,-0.1622,-0.1957,0.2542,1.665,0.4487,103.85,-7.82,358.6,352.98,7.78,-6.42,-0.8,7.79,0.01,0.2209,103.8462,0.6074,14620039.8118,low_angle_solution,7.7889,7.7889,0.0,62.9521,1.5627035906377036,-0.4664205415956246,-0.6548549990564538,0.455711410751825,1.4946838493260022,-0.017023891052245332,103.8462,104.3126,-0.4664,7.7889,778.2595,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.004,STOP,0.0
,,2026-06-23T17:18:03.296,,enemy,137.2885,8.582966,253.5324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-23T17:18:03.298,,enemy,137.2885,8.582966,253.5324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-06-23T17:18:08.822,2026-06-23T17:18:10.483,1.6608,enemy,130.8956,8.570341,245.9129,150.00018310546875,7.969334125518799,149.99649047851562,129.34074417854936,8.599994659423828,244.96171752746162,40.0,moving_enemy,EnemyTank,0,97.56413795883259,,129.7281036376953,8.599994659423828,245.43130493164062,-0.2368,-0.2871,0.3722,1.5355,0.6087,97.19,-12.27,353.94,348.74,7.1,-6.21,-1.02,7.15,0.05,0.2138,97.1865,0.6307,15599085.1676,low_angle_solution,7.1522,7.1522,0.0,63.7903,1.8229657322836408,-0.6140714968874477,-0.9511824725383917,0.5989189688916069,1.721517002607009,-0.02965365942382725,97.1865,97.8005,-0.6141,7.1522,803.876,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.004,STOP,0.0
,,2026-06-23T17:18:10.484,,enemy,130.8956,8.570341,245.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-06-23T17:18:10.486,,enemy,130.8956,8.570341,245.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
