timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,enemy_velocity_x,enemy_velocity_z,enemy_speed,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,predicted_flight_time,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,move_ad_command,move_ad_weight,aim_aligned,spawn_arm_ready,aim_stable_ready,fire
2026-06-23T17:47:58.496,moving_enemy,EnemyTank,0,120.0,,120.0,False,0,0.0,0.0,0.0,15.0,0.0,15.0,1.9795,17.5795,0.0,0.0,10.0,10.0,0.2368,R,0.22,-0.0,0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,STOP,0.0,False,False,False,False
2026-06-23T17:47:59.031,moving_enemy,EnemyTank,0,120.0,,120.0,False,1,0.0,0.0,0.0,15.0,0.0,15.0,1.9793,17.5793,0.0,0.55,9.98,9.44,0.2367,R,0.22,-0.0,0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,STOP,0.0,False,False,False,False
2026-06-23T17:47:59.577,moving_enemy,EnemyTank,0,120.0,,120.0,False,2,0.0,0.0,0.0,15.0,0.0,15.0,1.979,17.579,0.0,1.1,9.93,8.83,0.2366,R,0.22,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:00.135,moving_enemy,EnemyTank,0,120.0001220703125,,120.0,True,3,0.0,0.0,0.0,15.0,0.0,15.0,1.9783,17.5783,0.0,1.66,9.81,8.15,0.2362,R,0.22,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:00.671,moving_enemy,EnemyTank,0,120.00010681152344,,120.0,True,4,0.0,0.0,0.0,15.0,0.0,14.85,1.9778,17.5778,0.0,2.21,9.73,7.52,0.236,R,0.22,0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:01.222,moving_enemy,EnemyTank,0,120.00006103515625,,120.0,True,5,0.0,0.0,0.0,15.0,0.0,14.2,1.9772,17.5772,0.0,2.77,9.62,6.85,0.2356,R,0.22,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:01.787,moving_enemy,EnemyTank,0,119.97372556510265,,119.66,True,6,-0.0116,-0.0181,0.0215,15.0,0.0076,13.35,1.9687,17.5687,0.3778,3.32,9.3,5.98,0.2345,R,0.22,-0.11,-0.187,-0.0009,-0.0009,0.0,STOP,0.0,-0.11,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:02.319,moving_enemy,EnemyTank,0,119.78572344473176,,117.27,True,7,-0.0925,-0.1444,0.1715,15.0,0.0612,12.55,1.9218,17.5218,3.0049,3.88,9.07,5.19,0.2323,R,0.22,-0.86,-1.418,-0.0074,-0.0074,0.0,Q,0.007,-0.86,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:02.851,moving_enemy,EnemyTank,0,119.41753152424793,,113.79,True,8,-0.223,-0.3479,0.4133,13.92,0.1385,11.6,1.854,16.374,6.7668,4.43,8.73,4.3,0.2292,R,0.189,-1.97,-2.085,-0.0146,-0.0146,0.0,Q,0.015,-2.03,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-23T17:48:03.398,moving_enemy,EnemyTank,0,118.87187251152012,,109.95,True,9,-0.392,-0.6109,0.7259,12.54,0.2202,10.45,1.7802,14.9202,10.8303,4.96,8.36,3.4,0.2259,R,0.15,-3.18,-2.21,-0.0212,-0.0212,0.0,Q,0.021,-3.43,0.0,0.0,False,STOP,0.0,False,True,False,False
