timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,move_ad_command,move_ad_weight,aim_aligned,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T15:14:11.742,moving_enemy,EnemyTank,0,120.0,,120.0,False,1,0.0,0.0,0.0,0.0,14.46,0.0,12.05,2.1689,1.096,17.2289,0.0,0.0,9.92,9.92,0.2365,R,0.28,-0.0,0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,STOP,0.0,False,False,False,False
2026-06-24T15:14:12.327,moving_enemy,EnemyTank,0,120.0,,120.0,False,2,0.0,0.0,0.0,0.0,13.74,0.0,11.45,2.1684,1.096,16.5084,0.0,0.69,9.84,9.15,0.2363,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:12.899,moving_enemy,EnemyTank,0,120.00010681152344,,120.0,True,3,0.0,0.0,0.0,0.0,12.96,0.0,10.8,2.1679,1.096,15.7279,0.0,1.44,9.77,8.33,0.2361,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:13.483,moving_enemy,EnemyTank,0,120.00010681152344,,120.0,True,4,0.0,0.0,0.0,0.0,12.18,0.0,10.15,2.1674,1.096,14.9474,0.0,2.18,9.69,7.5,0.2358,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:14.070,moving_enemy,EnemyTank,0,120.00019836425781,,120.0,True,5,0.0,0.0,0.0,0.0,11.46,0.0,9.55,2.1671,1.096,14.2271,0.0,2.93,9.64,6.71,0.2357,R,0.28,0.0,-0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:14.633,moving_enemy,EnemyTank,0,120.00038146972656,,120.0,True,6,0.0,0.0,0.0,0.0,10.74,0.0,8.95,2.1668,1.096,13.5068,0.0,3.64,9.59,5.96,0.2356,R,0.28,0.0,-0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:15.197,moving_enemy,EnemyTank,0,120.00028991699219,,120.0,True,7,0.0,0.0,0.0,0.0,9.96,0.0,8.3,2.1661,1.096,12.7261,0.0,4.38,9.48,5.1,0.2353,R,0.28,0.0,-0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:15.771,moving_enemy,EnemyTank,0,120.00030517578125,,120.0,True,8,0.0,0.0,0.0,0.0,9.18,0.0,7.65,2.1657,1.096,11.9457,0.0,5.13,9.42,4.3,0.2351,R,0.28,0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:16.343,moving_enemy,EnemyTank,0,119.99392798380696,,119.95,True,9,0.0,-0.0099,-0.0041,0.0108,8.4,0.0043,7.0,2.1642,1.096,11.1642,0.12,5.87,9.35,3.48,0.2349,R,0.243,-0.06,-0.105,-0.0005,-0.0005,0.0,STOP,0.0,-0.06,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:14:16.924,moving_enemy,EnemyTank,0,120.00515962728284,,120.05,True,10,0.0,0.0179,0.0045,0.0184,7.5,0.0071,6.25,2.1662,1.096,10.2662,0.1894,6.59,9.35,2.75,0.2349,R,0.193,0.1,0.273,0.0011,0.0011,0.0,STOP,0.0,0.1,0.0,0.0,False,STOP,0.0,False,True,False,False
