timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,target_angle_rate_deg_s,yaw_closing_rate_deg_s,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,predicted_turret_yaw_rate,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,pitch_signed_effort,predicted_pitch_rate,move_ad_command,move_ad_weight,aim_aligned,predictive_aim_aligned,fire_alignment_ready,predictive_fire_lookahead_seconds,predicted_turret_error_at_fire,predicted_pitch_error_at_fire,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T16:11:53.438,moving_enemy,EnemyTank,0,120.0,,120.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,14.34,0.0,11.95,0.0,13.9194,2.0971,1.06,16.6571,0.0,0.0,9.82,9.82,0.2362,R,0.28,-0.0,0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,9.592,False,False,False
2026-06-24T16:11:54.012,moving_enemy,EnemyTank,0,120.0,,120.0,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,13.68,0.0,11.4,0.0,13.9194,2.0967,1.06,15.9967,0.0,0.69,9.77,9.08,0.2361,R,0.28,-0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,8.85,True,False,False
2026-06-24T16:11:54.594,moving_enemy,EnemyTank,0,120.0,,120.0,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,12.9,0.0,10.75,0.0,13.9194,2.0962,1.06,15.2162,0.0,1.43,9.69,8.25,0.2358,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,8.023,True,False,False
2026-06-24T16:11:55.178,moving_enemy,EnemyTank,0,120.00007629394531,,120.0,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,12.06,0.0,10.05,0.0,13.9194,2.0955,1.06,14.3755,0.0,2.18,9.57,7.39,0.2355,R,0.28,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,0.0,7.165,True,False,False
2026-06-24T16:11:55.738,moving_enemy,EnemyTank,0,120.00013732910156,,120.0,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,11.34,0.0,9.45,0.0,13.9255,2.0952,1.06,13.6552,0.0027,2.92,9.51,6.59,0.2354,R,0.28,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.2801,1.278,STOP,0.0,False,False,False,0.18,-0.0,6.364,True,False,False
2026-06-24T16:11:56.309,moving_enemy,EnemyTank,0,120.00015258789062,,120.0,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,10.56,0.0,8.8,0.0,13.9217,2.0948,1.06,12.8748,0.001,3.66,9.45,5.79,0.2352,R,0.28,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,5.557,True,False,False
2026-06-24T16:11:56.880,moving_enemy,EnemyTank,0,120.00015258789062,,120.0,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,9.78,0.0,8.15,0.0,13.9199,2.0943,1.06,12.0943,0.0002,4.41,9.37,4.96,0.2349,R,0.28,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,0.28,1.277,STOP,0.0,False,False,False,0.18,-0.0,4.732,True,False,False
2026-06-24T16:11:57.442,moving_enemy,EnemyTank,0,119.99906176878453,,119.96,True,8,0.0,-0.029,-0.0008,0.029,-0.0397,-0.0011,0.0397,iterative_p_vt_half_at2,8.04,0.0603,6.7,-0.0139,19.5706,2.0933,1.06,10.3533,2.4287,5.15,9.35,4.2,0.2349,R,0.331,-1.18,-2.101,-0.0105,-0.0105,-0.455,0.0,Q,0.01,-1.18,0.0,0.0,False,0.331,1.51,STOP,0.0,False,False,False,0.18,-1.098,3.926,True,False,False
2026-06-24T16:11:58.013,moving_enemy,EnemyTank,0,119.98980831141382,,119.48,True,9,0.0,-0.0016,-0.0065,0.0067,0.0066,-0.0084,0.0107,iterative_p_vt_half_at2,7.98,0.0152,6.65,-0.0008,15.3261,2.0832,1.06,10.2832,0.6119,5.95,9.3,3.36,0.2344,R,0.246,0.23,2.476,0.0062,0.0062,0.269,0.0,STOP,0.0,0.15,0.0,0.0,False,0.2459,1.122,STOP,0.0,False,False,False,0.18,0.185,3.157,True,False,False
2026-06-24T16:11:58.591,moving_enemy,EnemyTank,0,119.97348079992523,,119.08,True,10,0.0,0.0023,-0.0151,0.0153,0.0104,-0.018,0.0208,iterative_p_vt_half_at2,6.84,0.0272,5.7,0.0011,16.2089,2.075,1.06,9.135,0.9991,6.75,9.26,2.51,0.234,R,0.189,0.44,0.359,0.0031,0.0031,0.133,0.0,STOP,0.0,0.21,0.0,0.0,False,0.1885,0.86,STOP,0.0,False,False,False,0.18,0.417,2.351,True,False,False
