timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,move_ad_command,move_ad_weight,aim_aligned,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T15:47:57.543,moving_enemy,EnemyTank,0,120.0,,120.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,14.52,0.0,12.1,2.1695,1.096,16.9095,0.0,0.0,10.0,10.0,0.2368,R,0.28,-0.0,0.0,-0.0,-0.0,0.0,STOP,0.0,-0.0,0.0,0.0,False,STOP,0.0,False,False,False,False
2026-06-24T15:47:58.121,moving_enemy,EnemyTank,0,120.00007629394531,,120.0,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,13.86,0.0,11.55,2.1691,1.096,16.2491,0.0,0.69,9.94,9.25,0.2366,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,False,False,False
2026-06-24T15:47:58.694,moving_enemy,EnemyTank,0,120.00007629394531,,120.0,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,13.08,0.0,10.9,2.1686,1.096,15.4686,0.0,1.43,9.86,8.43,0.2364,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:47:59.258,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,12.3,0.0,10.25,2.1681,1.096,14.6881,0.0,2.17,9.8,7.62,0.2362,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:47:59.836,moving_enemy,EnemyTank,0,120.00009155273438,,120.0,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,11.52,0.0,9.6,2.1676,1.096,13.9076,0.0,2.92,9.71,6.79,0.2359,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:48:00.382,moving_enemy,EnemyTank,0,120.0003662109375,,120.0,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,10.74,0.0,8.95,2.1671,1.096,13.1271,0.0,3.66,9.63,5.97,0.2357,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:48:00.964,moving_enemy,EnemyTank,0,120.00054931640625,,120.0,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,9.96,0.0,8.3,2.1664,1.096,12.3464,0.0,4.39,9.53,5.14,0.2354,R,0.28,0.0,-0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:48:01.508,moving_enemy,EnemyTank,0,120.00054931640625,,120.0,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,9.24,0.0,7.7,2.166,1.096,11.626,0.0,5.09,9.46,4.37,0.2352,R,0.28,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:48:02.095,moving_enemy,EnemyTank,0,120.00054931640625,,120.0,True,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iterative_p_vt_half_at2,8.46,0.0,7.05,2.1655,1.096,10.8455,0.0,5.81,9.38,3.58,0.235,R,0.25,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,False,STOP,0.0,False,True,False,False
2026-06-24T15:48:02.663,moving_enemy,EnemyTank,0,119.99875095628995,,119.92,True,9,0.0,-0.0151,-0.0012,0.0151,-0.0202,-0.0016,0.0203,iterative_p_vt_half_at2,7.32,0.0352,6.1,2.1635,1.096,9.7035,1.1016,6.49,9.35,2.85,0.2348,R,0.213,-0.54,-0.942,-0.0047,-0.0047,0.0,Q,0.005,-0.54,0.0,0.0,False,STOP,0.0,False,True,False,False
