shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,target_type,target_name,target_index,target_distance,target_bearing,observed_enemy_x_fire,observed_enemy_y_fire,observed_enemy_z_fire,enemy_velocity_x_fire,enemy_velocity_z_fire,enemy_speed_fire,predicted_control_time_fire,predicted_yaw_control_time_fire,predicted_pitch_control_time_fire,predicted_flight_time_fire,predicted_total_intercept_time_fire,lead_distance_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,forward_error_fire,lateral_error_fire,vertical_error_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T17:35:09.379,2026-06-23T17:35:11.227,1.8476,terrain,144.3609,7.729212,256.4424,150.0,7.977890968322754,149.9969940185547,142.5586918574002,8.59079647064209,249.1849721011075,100.0,moving_enemy,EnemyTank,0,103.75326619357207,,144.13136291503906,8.59079647064209,253.5841522216797,-0.6858,-1.9183,2.0372,0.1108,0.0923,0.0,1.5825,2.2933,4.6718,99.47,-4.29,-0.0,357.05,7.53,-4.29,-1.34,7.39,-0.14,0.2171,99.4667,0.6129,15136018.7276,low_angle_solution,7.3876,7.3876,0.0,63.38,7.527319688768921,-7.127952714939141,-7.25742789889253,7.102263197509102,2.3401007179573323,-0.8615844706420894,99.4667,106.5947,-7.128,7.3876,791.8788,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.009,STOP,0.0
3,2026-06-23T17:35:21.592,2026-06-23T17:35:22.891,1.2991,enemy,133.2249,9.230802,225.0624,150.00022888183594,7.9696173667907715,149.9947509765625,134.02451998982073,8.58898639678955,225.316778005896,100.0,moving_enemy,EnemyTank,0,79.62769348377942,,135.05943298339844,8.58898639678955,228.20819091796875,-0.5592,-1.5625,1.6595,0.0886,0.0738,0.0,1.162,1.8506,3.071,77.0,-11.97,351.34,347.28,5.47,-3.31,0.74,5.37,-0.1,0.1937,76.9976,0.6194,18999688.0193,low_angle_solution,5.3731,5.3731,0.0,66.5575,1.056422058899255,0.07840236387184518,0.254378005896001,-0.08293466962277651,-0.8349982865725585,0.6418156032104498,76.9976,76.9192,0.0784,5.3731,887.294,0.0,0.0,0.0,STOP,0.0,STOP,0.0,E,0.004,STOP,0.0
5,2026-06-23T17:35:31.041,2026-06-23T17:35:32.451,1.4102,terrain,124.5617,7.864431,227.3658,150.00051879882812,7.986547470092773,149.99322509765625,128.60765594981098,8.592686653137207,210.1683642720917,95.0,moving_enemy,EnemyTank,0,64.87711956388,,129.04562377929688,8.592686653137207,211.39300537109375,-0.2518,-0.704,0.7477,0.1556,0.1297,0.0,0.984,1.7395,1.3006,63.86,-19.57,346.74,341.79,4.92,-6.31,-1.36,4.79,-0.13,0.2015,63.8647,0.6061,17555236.9546,low_angle_solution,4.793,4.793,0.0,65.1339,17.68196571254661,-17.582499063061263,-17.1974357279083,17.55918977708018,1.9484377166926676,-0.7282556531372073,63.8647,81.4472,-17.5825,4.793,852.8344,0.0,0.0,0.0,STOP,0.0,STOP,0.0,Q,0.008,STOP,0.0
