shot_id,fire_time,impact_time,flight_time_sec,hit,impact_x,impact_y,impact_z,player_x_fire,player_y_fire,player_z_fire,enemy_x_fire,enemy_y_fire,enemy_z_fire,enemy_health_fire,distance_fire,target_world_angle_fire,player_body_yaw_fire,player_turret_yaw_fire,player_turret_pitch_fire,body_error_fire,turret_error_fire,desired_pitch_fire,pitch_error_fire,pitch_fire_tolerance,ballistic_R_fire,ballistic_dy_fire,ballistic_discriminant_fire,ballistic_mode_fire,theta_raw_deg_fire,theta_with_bias_deg_fire,pitch_bias_deg_fire,muzzle_speed_fire,impact_error_to_enemy_fire,range_error_fire,z_shortfall_fire,tune_target_range,tune_impact_range,tune_range_error,tune_theta_used,tune_range_derivative,tune_delta_theta_deg,tune_old_pitch_bias_deg,tune_new_pitch_bias_deg,action_moveWS_command,action_moveWS_weight,action_moveAD_command,action_moveAD_weight,action_turretQE_command,action_turretQE_weight,action_turretRF_command,action_turretRF_weight
1,2026-06-23T11:37:39.874,2026-06-23T11:37:41.968,2.0935,Rock002_120m_Front,150.0201,9.308958,269.2622,150.0,7.983198165893555,149.99830627441406,150.0,9.502197265625,270.0,100.0,120.0,0.0,0.0,0.0,9.64,-0.0,-0.0,9.79,0.15,0.2362,120.0017,1.519,12860683.4237,low_angle_solution,9.7937,9.7937,0.0,61.558,0.7629510231851578,0.7377983062350779,0.7377999999999929,120.0017,119.2639,0.7378,9.7937,727.8432,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
2,2026-06-23T11:38:02.610,2026-06-23T11:38:04.342,1.7314,Rock002_100m_Right,248.6993,9.907225,150.7195,149.99813842773438,7.989901542663574,149.9976043701172,250.0,9.502197265625,150.0,100.0,100.0,90.0,76.98,90.42,8.01,13.02,-0.42,7.97,-0.04,0.2189,100.0019,1.5123,14957552.5079,low_angle_solution,7.9697,7.9697,0.0,63.2838,1.5406324044407793,1.298060108743556,-0.7195000000000107,100.0019,98.7038,1.2981,7.9697,785.0831,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
3,2026-06-23T11:38:27.971,2026-06-23T11:38:29.316,1.3457,Rock002_80m_Rear,150.41,10.06178,70.97241,149.99603271484375,7.975879669189453,149.99783325195312,150.0,9.502197265625,70.0,100.0,80.0,180.0,166.43,180.42,6.31,13.57,-0.42,6.15,-0.15,0.1929,79.9978,1.5263,19260614.2912,low_angle_solution,6.1537,6.1537,0.0,66.8828,1.1944932166867221,0.9713258413679853,-0.9724099999999964,79.9978,79.0265,0.9713,6.1537,891.0231,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
4,2026-06-23T11:38:42.556,2026-06-23T11:38:43.519,0.9631,Rock002_60m_Left,90.97708,11.06869,150.0425,149.99859619140625,7.998573303222656,149.99749755859375,90.0,9.502197265625,150.0,100.0,60.0,-90.0,236.3,270.42,5.53,33.7,-0.42,5.48,-0.04,0.2051,59.9986,1.5036,17069620.2555,low_angle_solution,5.4824,5.4824,0.0,64.715,1.8467244145377149,0.9770628955664336,-0.04249999999998977,59.9986,59.0215,0.9771,5.4824,838.2349,0.0,0.0,0.0,STOP,0.0,STOP,0.0,STOP,0.0,STOP,0.0
